product_name,product_reference,product_type,product_category,description,price,currency,price_min,price_max,discount_price,tax_rate,short_description,features,brand,tags,keywords,stock_status,stock_quantity,weight,dimensions,colors,materials,availability,image_url,product_url,gallery_urls,video_url,status,language,visibility,created_at
Matelas HARMONIE,DM4102,Matelas,,"Le matelas HARMONIE allie confort et soutien personnalisé grâce à sa mousse à mémoire de forme et ses ressorts ensachés de 20 cm renforcés. Son tissu tricoté assure douceur et durabilité, tandis que la mousse respirante réduit les points de pression. Avec un tissu 3D respirant et une ventilation optimale, il garantit un sommeil paisible et réparateur.    GARANTIE 7 ANS. Le Matelas HARMONIE est conçu pour les personnes recherchant un confort équilibré avec un soutien dorsal de haute qualité. Grâce à son soutien spécifique pour le dos et ses matériaux respirants, il convient particulièrement aux personnes souffrant de douleurs musculaires ou articulaires, ainsi qu'à celles sensibles à la chaleur pendant la nuit. Il est également idéal pour les couples ou ceux qui partagent leur lit, grâce à ses ressorts ensachés indépendants qui minimisent les perturbations de sommeil. Ce matelas est parfait pour ceux qui recherchent une solution alliant confort, soutien et régulation thermique, tout en profitant d’une hygiène impeccable grâce à sa conception respirante.",,EUR,,,,,Le matelas HARMONIE combine mousse à mémoire de forme et ressorts ensachés 20cm pour un confort personnalisé et un soutien dorsal optimal. Sa technologie 3D respirante régule la température et réduit les points de pression. Garantie 7 ans.,0.72 560 L190 * l140 * H27 (cm)|0.86 775 L200 * l160 * H27 (cm),,,,,,,L190 * l140 * H27 (cm)|L200 * l160 * H27 (cm),,,,https://drmaxisliterie.re/assets/resources/products/64767ec9-f6ba-4800-ac11-c0855ebd709e.jpg,https://drmaxisliterie.re/produit/5/matelas-harmonie,https://drmaxisliterie.re/assets/resources/products/d7859abd-d581-4492-9d80-cafa9b72a4d5.jpg|https://drmaxisliterie.re/assets/resources/products/783ab31d-c60a-4a29-8487-e553de91652c.jpg|https://drmaxisliterie.re/assets/resources/products/64767ec9-f6ba-4800-ac11-c0855ebd709e.jpg,,active,fr,public,2025-06-06 11:26:13
Lit Elegance,Q02,Lit,,"Le Lit Élégance incarne parfaitement son nom, alliant raffinement et fonctionnalité pour un espace nuit sophistiqué. Sa structure en panneaux de particules garnis de mousse apporte une solidité discrète, enveloppée d’un revêtement en tissu PU qui évoque luxe et modernité. Le sommier intégré, associé à un piètement en métal au design minimaliste, renforce l'esthétique contemporaine du lit tout en assurant une stabilité irréprochable. Ses lignes épurées et ses finitions soignées font du Lit Élégance un choix intemporel, parfait pour sublimer une chambre avec une touche de distinction et de confort.",,EUR,,,,,Le Lit Élégance de Dr Maxis Literie combine raffinement et robustesse. Son design moderne et son soutien optimal promettent un sommeil réparateur et un espace nuit sophistiqué à La Réunion.,0.9 L225 * l200 * H112 (cm)|L225 * l180 * H112 (cm)|L225 * l200 * H112 (cm),,,,,,,L225 * l180 * H112 (cm)|L225 * l200 * H112 (cm),bleu marine|gris claire|maron,,,https://drmaxisliterie.re/assets/resources/products/fba42bb2-d58e-46c2-8001-f7c0d94710e3.png,https://drmaxisliterie.re/produit/49/lit-elegance,https://drmaxisliterie.re/assets/resources/products/fba42bb2-d58e-46c2-8001-f7c0d94710e3.png|https://drmaxisliterie.re/assets/resources/products/3df8f5dc-8a63-4e46-b5fe-c6e4d4438314.jpg,,active,fr,public,2025-06-06 16:35:23
Matelas HOTEL 4,32pb-28,Matelas,,"Le Matelas HOTEL 4 étoiles conçu pour offrir un confort optimal, ce matelas combine un tissu de haute qualité et des couches de mousse innovantes pour un soutien ferme et enveloppant. La mousse convolutée soulage les points de pression pour un sommeil réparateur. Les ressorts ensachés assurent une indépendance de couchage parfaite. Un choix idéal pour des nuits paisibles et confortables.    GARANTIE 7 ANS. Le Matelas HOTEL 4 étoiles est destiné à ceux qui recherchent une expérience de sommeil luxueuse, avec un confort optimal et un soutien inégalé. Parfait pour les personnes exigeantes, il convient particulièrement aux dormeurs cherchant à se réveiller en pleine forme, sans tensions ou douleurs corporelles. Il est idéal pour les couples, grâce à ses ressorts ensachés et son encadrement renforcé qui prévient les perturbations de sommeil. Un choix parfait pour ceux qui apprécient un confort de qualité supérieure au quotidien.",,EUR,,,,,"Matelas Hôtel 4 étoiles avec mousse innovante et ressorts ensachés. Confort ferme, indépendance de couchage et soutien optimal pour un sommeil réparateur. Idéal pour couples exigeants. Garantie 7 ans. Disponible à La Réunion.",0.13 336 L190 * l90 * H29 (cm)|0.20 560 L190 * l140 * H29 (cm)|0.23 690 L200 * l160 * H29 (cm)|0.26 780 L200 * l180 * H29 (cm)|0.29 900 L200 * l200 * H29 (cm),,,,,,,L190 * l140 * H29 (cm)|L190 * l90 * H29 (cm)|L200 * l160 * H29 (cm)|L200 * l180 * H29 (cm)|L200 * l200 * H29 (cm),,,,https://drmaxisliterie.re/assets/resources/blogs/d60b8a9b-6370-4024-83b5-dc24636d360d.jpg,https://drmaxisliterie.re/produit/6/matelas-hotel-4,https://drmaxisliterie.re/assets/resources/products/c340fe71-3af3-48b2-9665-6e1f95634432.jpg|https://drmaxisliterie.re/assets/resources/blogs/d60b8a9b-6370-4024-83b5-dc24636d360d.jpg|https://drmaxisliterie.re/assets/resources/products/22152571-aa7d-4bcf-9a13-6bf4d6f1510f.jpg|https://drmaxisliterie.re/assets/resources/products/f25370d6-1ed2-47c8-a70b-0d8912bb7757.jpg|https://drmaxisliterie.re/assets/resources/products/aee14321-df24-4829-8498-cd7777f9a118.jpg|https://drmaxisliterie.re/assets/resources/products/16261874-01ce-4b8c-911f-d78d435936d4.jpg|https://drmaxisliterie.re/assets/resources/products/d5ff6a58-bb4a-4698-ba3e-37076657f944.jpg,,active,fr,public,2025-06-09 10:18:02
Matelas Pedic Pro Sleep,xm-11,Matelas,,"Le Matelas PEDIC PRO SLEEP associe fibre de bambou antibactérienne et latex naturel pour un soutien ferme et un confort agréable. Les ressorts ensachés de 18 cm, renforcés sur les bords, assurent stabilité et durabilité. Son tissu 3D respirant favorise une ventilation optimale et un sommeil réparateur.    GARANTIE 7 ANS. Le PEDIC PRO SLEEP est idéal pour les personnes recherchant un matelas offrant à la fois confort, soutien et hygiène. Grâce à ses propriétés antibactériennes et résistantes aux acariens, il convient particulièrement aux personnes sujettes aux allergies. Sa construction ferme et son soutien renforcé autour des bords en font un choix parfait pour ceux qui préfèrent un matelas offrant une stabilité accrue et une bonne ventilation, tout en bénéficiant d'un confort prolongé chaque nuit.",,EUR,,,,,"Matelas PEDIC PRO SLEEP en latex naturel et fibre de bambou antibactérienne. Confort ferme, ressorts ensachés 18 cm, tissu 3D respirant. Idéal pour allergiques. Stabilité, hygiène et ventilation optimales. Garantie 7 ans.",0.45 364 L190 * l90 * H26 (cm)|0.69 560 L200 * l140 * H26 (cm)|0.83 775 L200 * l160 * H26 (cm),,,,,,,L190 * l90 * H26 (cm)|L200 * l140 * H26 (cm)|L200 * l160 * H26 (cm),,,,https://drmaxisliterie.re/assets/resources/products/35ddc3a3-a44a-44af-885c-c7428d215c2a.jpg,https://drmaxisliterie.re/produit/8/matelas-pedic-pro-sleep,https://drmaxisliterie.re/assets/resources/products/35ddc3a3-a44a-44af-885c-c7428d215c2a.jpg|https://drmaxisliterie.re/assets/resources/products/73edcaa6-ca0c-4805-906b-46cf23d18290.jpg|https://drmaxisliterie.re/assets/resources/products/d501b6fa-65fe-4023-aef3-90c02b76cde9.jpg|https://drmaxisliterie.re/assets/resources/products/5624a069-bf07-46c4-9968-a7406a0136e2.jpg,,active,fr,public,2025-06-09 10:38:03
Matelas N°2 Maxis,xm1302,Matelas,,"Le Matelas MAXIS N°2 combine confort et fraîcheur avec son tissu en soie glacée. La mousse hydrophile et la mousse à mémoire de forme épousent le corps et soulagent les points de pression. L'éponge haute densité et la mousse respirante assurent une ventilation optimale. Le latex naturel et les ressorts ensachés offrent un soutien zoné et une indépendance de couchage. Le coton thermolié garantit une gestion efficace de l'humidité.    GARANTIE 10 ANS. Le Matelas MAXIS N°2 est conçu pour ceux qui recherchent un matelas à la fois rafraîchissant et soutenant. Il est particulièrement adapté aux personnes ayant tendance à avoir chaud pendant la nuit grâce à son tissu rafraîchissant et sa mousse respirante. Ce matelas convient également aux couples grâce à ses ressorts ensachés indépendants, minimisant les perturbations liées aux mouvements nocturnes. Parfait pour les personnes souffrant de douleurs corporelles, il offre un soutien ergonomique avec ses différentes couches de mousse et de latex naturel. Enfin, sa structure adaptée à une ventilation optimale en fait un choix idéal pour ceux recherchant un matelas à la fois confortable et hygiénique.",,EUR,,,,,"Le matelas MAXIS N°2 allie confort et fraîcheur grâce à son tissu en soie glacée rafraîchissant. Sa mousse à mémoire épouse le corps et soulage les points de pression, tandis que sa ventilation optimale et son coton thermolié garantissent une hygiène parfaite. Garantie 10 ans.",1.22 775 L200 * l160 * H38 (cm)|1.37 868 L200 * l180 * H38 (cm),,,,,,,L200 * l160 * H38 (cm)|L200 * l180 * H38 (cm),,,,https://drmaxisliterie.re/assets/resources/products/617ba203-9ca0-4511-a0e0-c99b9aba6333.jpg,https://drmaxisliterie.re/produit/11/matelas-n2-maxis,https://drmaxisliterie.re/assets/resources/products/e3085474-696e-4dab-9ae7-62b482580164.jpg|https://drmaxisliterie.re/assets/resources/products/bfb52634-5f82-4c0e-85a9-d98b16f67967.jpg|https://drmaxisliterie.re/assets/resources/products/0005295c-3ab7-4aea-83f1-77aca70ddef3.jpg|https://drmaxisliterie.re/assets/resources/products/e0f005b8-68dd-43fa-a4fb-2d332c6b2c1d.jpg|https://drmaxisliterie.re/assets/resources/products/95de8d07-b0e9-47da-b8fd-29698dbcfe81.jpg|https://drmaxisliterie.re/assets/resources/products/617ba203-9ca0-4511-a0e0-c99b9aba6333.jpg,,active,fr,public,2025-06-09 10:54:29
Matelas Grand Royale,xm16,Matelas,,"Le Matelas GRAND ROYALE offre un confort optimal grâce à son tissu en soie glacée de 650g et à sa mousse à mémoire de forme en gel. Son latex naturel de 5 cm assure un soutien ferme et durable, tandis que les ressorts ensachés indépendants répartis en 5 zones garantissent une indépendance de couchage parfaite. Renforcé autour des bords, il offre stabilité et soutien. Le tissu tricoté et le coton thermolié assurent une excellente ventilation pour un sommeil frais et hygiénique.    GARANTIE 10 ANS. Le Matelas GRAND ROYALE est destiné à ceux qui recherchent le confort absolu et un soutien personnalisé. Parfait pour les personnes souffrant de douleurs corporelles ou de tensions musculaires, ce matelas leur offre un soutien dorsal optimal grâce à la combinaison de mousse à mémoire de forme et de latex naturel. Il est particulièrement adapté aux couples ou aux personnes partageant leur lit, grâce à ses ressorts ensachés indépendants qui minimisent les perturbations liées aux mouvements nocturnes. Ce matelas haut de gamme conviendra également à ceux qui ont tendance à avoir chaud la nuit, en raison de son tissu rafraîchissant et de sa mousse respirante, pour garantir une température idéale et un sommeil réparateur.",,EUR,,,,,"Le matelas GRAND ROYALE combine soie glacée, mousse à mémoire de forme en gel et latex naturel pour un soutien ferme et durable. Ses ressorts ensachés répartis en 5 zones et tissu tricoté coton thermolié garantissent confort premium. Garantie 10 ans.",1.15 775 L200 * l160 * H36 (cm)|1.30 868 L200 * l180 * H36 (cm),,,,,,,L200 * l160 * H36 (cm)|L200 * l180 * H36 (cm),,,,https://drmaxisliterie.re/assets/resources/products/a48d7962-dbcd-4167-97c6-1ddb918093e0.jpg,https://drmaxisliterie.re/produit/12/matelas-grand-royale,https://drmaxisliterie.re/assets/resources/products/a48d7962-dbcd-4167-97c6-1ddb918093e0.jpg|https://drmaxisliterie.re/assets/resources/products/4946a242-5868-4b76-ad08-a02f7a436f38.jpg|https://drmaxisliterie.re/assets/resources/products/83728188-e42c-45b4-909b-d96137eda720.jpg|https://drmaxisliterie.re/assets/resources/products/62156a11-1afa-4661-b9d8-48699ddebfca.jpg|https://drmaxisliterie.re/assets/resources/products/9f965bd9-87c5-4585-a94c-fb07d7daa59f.jpg,,active,fr,public,2025-06-09 10:58:10
Matelas Cool Violet,dm3906,Matelas,,"Le Matelas COOL VIOLET offre une expérience de sommeil rafraîchissante grâce à son tissu en soie glacée et coton sans colle, régulant la température. La mousse à mémoire de forme swirl et la mousse respirante s'adaptent à la silhouette, apportant un soutien ciblé et réduisant les points de pression. Le latex naturel et l’éponge ajoutent un confort ferme et agréable. Les ressorts ensachés indépendants, renforcés sur les bords, assurent stabilité et indépendance de couchage. Ce matelas haut de gamme garantit un sommeil réparateur et un confort optimal, quelles que soient les conditions climatiques.    GARANTIE 10 ANS. Le Matelas COOL VIOLET est idéal pour les personnes recherchant un sommeil réparateur dans un environnement frais et confortable. Grâce à son tissu rafraîchissant et sa mousse à mémoire de forme, il est parfait pour les dormeurs qui souffrent de chaleur nocturne. Ce matelas conviendra également aux couples ou aux personnes qui apprécient une indépendance de couchage totale, tout en bénéficiant d'un soutien optimal. Un excellent choix pour ceux qui souhaitent combiner confort de luxe et régulation thermique, tout en ayant la garantie d’un sommeil profond et agréable.",,EUR,,,,,"Le matelas COOL VIOLET de Dr Maxis Literie La Réunion offre un sommeil réparateur avec mousse à mémoire de forme swirl, soie glacée et ressorts ensachés indépendants. Confort luxueux rafraîchissant pour couples. Garantie 10 ans.",1.28 775 L200 * l160 * H40 (cm)|1.44 868 L200 * l180 * H40 (cm),,,"matelas La Réunion, Dr Maxis Literie, sommeil réparateur ,  mousse à mémoire de forme , confort luxueux , ressorts ensachés , couples , garantie 10 ans",,,,L200 * l160 * H40 (cm)|L200 * l180 * H40 (cm),,,,https://drmaxisliterie.re/assets/resources/products/9a5523a3-986e-43f2-9257-df0f5a71711a.jpg,https://drmaxisliterie.re/produit/13/matelas-cool-violet,https://drmaxisliterie.re/assets/resources/products/4f1c0008-c1dc-413f-8110-917d44a98b5d.jpg|https://drmaxisliterie.re/assets/resources/products/4abe455d-1b06-44fd-a2cd-6a031d19e120.jpg|https://drmaxisliterie.re/assets/resources/products/9a5523a3-986e-43f2-9257-df0f5a71711a.jpg|https://drmaxisliterie.re/assets/resources/products/fb87e29a-8281-4dde-a615-35e9609f6e8e.jpg|https://drmaxisliterie.re/assets/resources/products/88701dfd-847a-4445-ae86-fdfda559370d.jpg,,active,fr,public,2025-06-09 11:05:26
Matelas Maxis Cool,xm5,Matelas,,"Le Matelas MAXIS COOL offre un confort optimal avec son tissu rafraîchissant en soie glacée et sa mousse à mémoire hydrophile qui s’adapte aux contours du corps. L’éponge haute densité et la mousse respirante assurent une ventilation idéale pour un sommeil frais et agréable. Les ressorts ensachés indépendants de 22 cm apportent un soutien zoné et une parfaite indépendance de couchage. Ce matelas garantit une gestion de l'humidité efficace grâce à son coton thermolié. Il offre ainsi un confort durable pour un sommeil réparateur.    GARANTIE 10 ANS. Le Matelas MAXIS COOL est parfait pour ceux qui cherchent à combiner confort, soutien et régulation thermique. Il convient particulièrement aux personnes qui ont tendance à avoir chaud la nuit grâce à son tissu rafraîchissant en soie glacée et sa mousse respirante. Ce matelas est également idéal pour les couples ou ceux qui partagent leur lit, grâce à ses ressorts ensachés indépendants qui minimisent les perturbations dues aux mouvements nocturnes. Enfin, avec sa mousse à mémoire de forme et son soutien zoné, il est recommandé pour ceux souffrant de douleurs corporelles ou de tensions musculaires, en apportant un soutien adapté à chaque zone du corps pour un confort optimal.",,EUR,,,,,Le matelas MAXIS COOL de Dr Maxis Literie La Réunion combine soie glacée rafraîchissante et mousse à mémoire hydrophile avec ressorts ensachés 22cm. Soutien zoné optimal pour couples et sommeil réparateur. Garantie 10 ans.,1.09 757 L200 * l160 * H34 (cm)|1.22 868 L200 * l180 * H34 (cm),,,"matelas La Réunion , Dr Maxis Literie , soie glacée rafraîchissante, mousse à mémoire hydrophile, ressorts ensachés , soutien zoné ,  sommeil réparateur, couples , garantie 10",,,,L200 * l160 * H34 (cm)|L200 * l180 * H34 (cm),,,,https://drmaxisliterie.re/assets/resources/products/da1ad3cf-bc73-4f35-830b-2a4c7273fc8e.jpg,https://drmaxisliterie.re/produit/14/matelas-maxis-cool,https://drmaxisliterie.re/assets/resources/products/9f2e92c6-33a1-4048-adea-aeeb0f7562e5.jpg|https://drmaxisliterie.re/assets/resources/products/60062cba-f95d-4d2c-8a22-53f8c6e8820c.jpg|https://drmaxisliterie.re/assets/resources/products/8cce77b0-fc34-46a1-ad34-57233e342128.jpg|https://drmaxisliterie.re/assets/resources/products/bc46b7fc-f4be-4fcc-847c-5c3db7ca0201.jpg|https://drmaxisliterie.re/assets/resources/products/da1ad3cf-bc73-4f35-830b-2a4c7273fc8e.jpg,,active,fr,public,2025-06-09 11:09:28
Matelas Ambassadeur,dm3907,Matelas,,"Le Matelas AMBASSADEUR combine confort luxueux et soutien durable avec son tissu en soie glacée et coton sans colle. Sa mousse haute élasticité et latex naturel de 3 cm offrent un soutien ferme, tout en épousant les courbes du corps. La mousse à mémoire de forme et l’éponge réduisent les points de pression et améliorent la circulation. Les ressorts ensachés de 20 cm assurent stabilité et indépendance de couchage. Son tissu respirant 3D garantit une ventilation idéale et un confort optimal pendant toute la nuit.    GARANTIE 10 ANS. Le Matelas AMBASSADEUR est destiné à ceux qui recherchent un confort haut de gamme avec un soutien personnalisé. Parfait pour les personnes qui ont besoin d’un matelas offrant à la fois fermeté et douceur, il est particulièrement adapté aux dormeurs qui souffrent de douleurs dorsales ou de tensions musculaires. Sa structure renforcée et ses ressorts ensachés en font une option idéale pour les couples, car elle minimise les perturbations liées aux mouvements nocturnes. Ce matelas est un choix idéal pour les personnes soucieuses d’obtenir un sommeil réparateur et durable, tout en profitant d’une sensation de fraîcheur pendant la nuit.",,EUR,,,,,Le matelas AMBASSADEUR spécialiste literie combine latex naturel 3cm et tissu 3D respirant. Soulage mal de dos avec ressorts ensachés 20cm. Idéal douleurs dorsales et tensions musculaires. 10 ans garantie.,1.12 775 L200 * l160 * H35 (cm)|1.22 868 L200 * l180 * H35 (cm),,,,,,,L200 * l160 * H35 (cm)|L200 * l180 * H35 (cm),,,,https://drmaxisliterie.re/assets/resources/products/ac25d714-e552-4192-bc0e-618bcb2314ad.jpg,https://drmaxisliterie.re/produit/16/matelas-ambassadeur,https://drmaxisliterie.re/assets/resources/products/ac25d714-e552-4192-bc0e-618bcb2314ad.jpg|https://drmaxisliterie.re/assets/resources/products/15ff25e9-ef89-4730-a3de-a16e60711014.jpg|https://drmaxisliterie.re/assets/resources/products/f6895caf-8765-443b-9294-72ce5766426e.jpg|https://drmaxisliterie.re/assets/resources/products/66498df1-0e66-4201-ab95-5724709a002f.jpg,,active,fr,public,2025-06-09 11:19:29
Matelas Palace,dm3908,Matelas,,"Le Matelas PALACE allie confort et luxe avec son tissu doux et son matelassage en soie naturelle, qui régule la température pour un sommeil optimal. L’éponge de 4 cm renforce le soutien, tandis que les ressorts ensachés individuels assurent une indépendance de couchage et un soutien zoné. Le tissu respirant favorise une circulation d'air idéale, évitant l’accumulation de chaleur. Les renforts autour des bords offrent une stabilité et une durabilité accrues.    GARANTIE 10 ANS. Le Matelas PALACE est destiné aux personnes recherchant le summum du confort et du luxe dans leur literie. Il convient particulièrement à ceux qui privilégient un accueil doux et un soutien optimal grâce à ses matériaux haut de gamme tels que le duvet d'oie et la soie naturelle. Ce matelas est idéal pour les couples, car ses ressorts ensachés individuels offrent une indépendance de couchage parfaite, réduisant les perturbations dues aux mouvements. Avec sa capacité à réguler la température et son tissu respirant, il est également recommandé pour ceux qui recherchent une nuit de sommeil fraîche et agréable. Enfin, sa construction robuste et ses renforts autour des bords en font un excellent choix pour ceux qui apprécient la stabilité et la durabilité.",,EUR,,,,,Le matelas PALACE literie haut de gamme offre matelassage soie naturelle et éponge 4cm avec ressorts individuels. Régulation température optimale et tissu respirant. Stabilité renforcée pour couples. 10 ans garantie.,1.06 890 L200 * l160 * H33 (cm)|1.19 990 L200 * l180 * H33 (cm),,,,,,,L200 * l160 * H33 (cm)|L200 * l180 * H33 (cm),,,,https://drmaxisliterie.re/assets/resources/products/9d5c24a5-db36-4fae-8bc4-6498eccd7baa.jpg,https://drmaxisliterie.re/produit/17/matelas-palace,https://drmaxisliterie.re/assets/resources/products/9d5c24a5-db36-4fae-8bc4-6498eccd7baa.jpg,,active,fr,public,2025-06-09 11:24:07
